latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
46.74795,-48.78111,322.66,1.4,1.17,2021-10-28,0043,T,100,6.1NRT,278.2,40.87,N
-7.42401,-35.08615,301.24,1.85,1.33,2021-10-28,0028,T,21,6.1NRT,290.15,12.23,N
-7.36031,-35.20234,304.96,1.89,1.34,2021-10-28,0028,T,62,6.1NRT,292.63,14.07,N
-7.3088,-37.67995,306.35,2.96,1.64,2021-10-28,0028,T,54,6.1NRT,294.43,20.3,N
-7.30814,-37.68552,306.03,2.96,1.64,2021-10-28,0028,T,67,6.1NRT,294.42,21.1,N
-6.76585,-35.13157,302.72,1.82,1.32,2021-10-28,0028,T,51,6.1NRT,291.82,10.31,N
-6.74215,-35.27594,303.74,1.87,1.34,2021-10-28,0028,T,57,6.1NRT,292.74,11.69,N
-6.05555,-35.29206,301.99,1.83,1.32,2021-10-28,0028,T,45,6.1NRT,291.63,10.06,N
12.35928,20.27367,303.14,1.22,1.1,2021-10-28,0009,A,53,6.1NRT,289.24,6.14,N
12.35777,20.28473,300.82,1.22,1.1,2021-10-28,0009,A,13,6.1NRT,288.9,4.39,N
12.34947,20.27228,305.22,1.22,1.1,2021-10-28,0009,A,58,6.1NRT,288.11,7.78,N
12.20776,20.64189,310.81,1.16,1.07,2021-10-28,0009,A,77,6.1NRT,287.05,11.53,N
12.2063,20.65243,309.05,1.16,1.07,2021-10-28,0009,A,76,6.1NRT,287.7,10.61,N
12.20107,20.61941,309.54,1.16,1.07,2021-10-28,0009,A,78,6.1NRT,286.61,11.05,N
12.19962,20.62998,311,1.16,1.07,2021-10-28,0009,A,80,6.1NRT,287.44,11.65,N
12.17374,20.64209,303.89,1.16,1.07,2021-10-28,0009,A,2,6.1NRT,286.99,5.8,N
12.16416,20.64076,309.89,1.16,1.07,2021-10-28,0009,A,79,6.1NRT,286.99,11.05,N
12.16268,20.65128,333.52,1.16,1.07,2021-10-28,0009,A,100,6.1NRT,289.01,41.15,N
12.10812,20.6221,301.25,1.16,1.07,2021-10-28,0009,A,39,6.1NRT,286.6,5.36,N
31.12883,29.81211,305.25,1.1,1.05,2021-10-28,0005,A,64,6.1NRT,291.4,8.05,N
29.65938,28.36059,305.02,1.03,1.01,2021-10-28,0005,A,63,6.1NRT,289.26,8.31,N
